"X","lam","par","dev","mis","sig_coef","sig_grp","fpr","tpr","auc"
"colon_lasso",0.0641914166669807,NA,0.937722531532362,"6/31",16,NA,"4/11","18/20",0.936363636363636
"colon_enet_mod1",0.0852635588815189,0.95,0.944918932568557,"6/31",19,NA,"4/11","18/20",0.945454545454545
"colon_pcl_no_mod1",8.74914753485952,0.95,0.561305032689799,"5/31",30,NA,"3/11","18/20",0.85
"colon_glas_k",0.0056215692959654,NA,0.489708288705224,"12/31",49,3,"7/11","15/20",0.695454545454545
"colon_sgl_k_mod4",0.0214939980688188,0.4,0.8533137447595,"7/31",29,2,"6/11","19/20",0.745454545454545
"colon_cmcp_k_mod1",0.0837858081337243,30,1.00835604722194,"6/31",11,4,"4/11","18/20",0.931818181818182
"colon_pcl_k_mod5",35.3204595962354,0.25,0.525418593175545,"5/31",30,9,"3/11","18/20",0.890909090909091
"colon_glas_h",0.0620627887689039,NA,0.987228117110292,"8/31",20,1,"4/11","16/20",0.622727272727273
"colon_sgl_h_mod6",0.019390226778372,0.05,0.863100598775306,"11/31",461,1,"11/11","20/20",0.813636363636364
"colon_cmcp_h_mod1",0.0812884318838458,30,0.994608238122744,"6/31",11,4,"4/11","18/20",0.931818181818182
"colon_pcl_h_mod1",163.943050859958,0.95,0.547528149999354,"3/31",7,6,"2/11","19/20",0.818181818181818
