"X","lam","par","dev","mis","sig_coef","sig_grp","fpr","tpr","auc"
"leuk_lasso",0.0040727044918034,NA,0.241428890927149,"5/36",14,NA,"5/14","22/22",0.987012987012987
"leuk_enet_mod2",0.00509088061475425,0.8,0.0833966591888787,"3/36",28,NA,"3/14","22/22",1
"leuk_pcl_no_mod1",0.00547850124165123,0.95,0.465012830724083,"3/36",41,NA,"3/14","22/22",0.977272727272727
"leuk_glas_k",0.0778628314516652,NA,1.23918803081872,"14/36",1,0,"14/14","22/22",0.5
"leuk_sgl_k_mod1",0.0456606090485656,0.95,0.730339151729696,"13/36",6,1,"13/14","22/22",0.993506493506493
"leuk_cmcp_k_mod1",0.110863715596822,30,0.671088193546564,"6/36",6,2,"6/14","22/22",0.964285714285714
"leuk_pcl_k_mod2",0.00547850124165123,0.9,0.442472215943709,"2/36",76,19,"2/14","22/22",0.993506493506493
"leuk_glas_h",0.077862831451665,NA,1.23919296591887,"14/36",1,0,"14/14","22/22",0.5
"leuk_sgl_h_mod4",0.0236300983545032,0.4,0.731323125636863,"14/36",772,1,"14/14","22/22",0.99025974025974
"leuk_cmcp_h_mod1",0.110863715596822,30,0.671159515149077,"6/36",7,2,"6/14","22/22",0.967532467532468
"leuk_pcl_h_mod1",0.00547850124165123,0.95,0.438606872168613,"2/36",46,5,"2/14","22/22",1
